original,status,photo_id,published_filename,note
IMG_9187.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9188.HEIC,selected,GT-01,gobekli-tepe-01-hill-landscape.webp,Selected for the web media collection.
IMG_9189.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9190.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9191.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9192.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9193.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9194.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9195.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9196.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9197.HEIC,selected,GT-02,gobekli-tepe-02-t-pillars-ensemble.webp,Selected for the web media collection.
IMG_9198.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9199.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9200.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9201.HEIC,selected,GT-03,gobekli-tepe-03-central-pillars.webp,Selected for the web media collection.
IMG_9202.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9203.HEIC,selected,GT-04,gobekli-tepe-04-enclosure-overview.webp,Selected for the web media collection.
IMG_9211.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9212.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9213.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9214.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9215.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9216.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9217.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9218.HEIC,selected,GT-05,gobekli-tepe-05-enclosure-wide.webp,Selected for the web media collection.
IMG_9219.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9220.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9221.HEIC,selected,GT-06,gobekli-tepe-06-pillars-and-stone-layers.webp,Selected for the web media collection.
IMG_9222.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9223.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9224.HEIC,selected,GT-07,gobekli-tepe-07-central-enclosure-from-above.webp,Selected for the web media collection.
IMG_9225.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9226.HEIC,selected,GT-08,gobekli-tepe-08-stone-network-overview.webp,Selected for the web media collection.
IMG_9227.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9228.HEIC,selected,GT-09,gobekli-tepe-09-outer-excavation-landscape.webp,Selected for the web media collection.
IMG_9229.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9230.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9231.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9232.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9233.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9234.HEIC,selected,GT-10,gobekli-tepe-10-protective-canopy.webp,Selected for the web media collection.
IMG_9235.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9236.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9237.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9238.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9239.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9240.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
IMG_9241.HEIC,not_selected,,,Reviewed; omitted to reduce repetition and page weight.
